2026-06-16	Anduril	https://boards-api.greenhouse.io/v1/boards/andurilindustries/jobs	(board scan — defense segment)	api_403; no_new (via web search: job 4807506007 SWE Intern confirmed same; rising senior + returning to school required; George rising junior = no_match_grad; dedup_029)
2026-06-16	Shield AI	https://boards-api.greenhouse.io/v1/boards/shieldai/jobs	(board scan — defense segment)	api_403; no_new (via web search: Embedded/C++ SWE Intern roles confirmed; grad Dec 2026 or Spring 2027 required; George Jun 2028 = no_match_grad; pattern unchanged)
2026-06-16	Tempus	https://boards-api.greenhouse.io/v1/boards/tempus/jobs	(board scan — health segment)	api_403; no_new (via web search: AI Data Science Summer Associate + ML Summer Associate confirmed; both require MS/PhD advanced degree, grad winter 2026-summer 2027; George is BS = no_match_degree; dedup job 7841796002)
2026-06-16	Recursion	https://boards-api.greenhouse.io/v1/boards/recursion/jobs	(board scan — health segment)	api_403; dedup_020 (SWE Internship SLC role description unchanged; no specific new Summer 2026 requisition with dates found; existing report 3.9/5 sufficient)
2026-06-16	Insitro	https://boards-api.greenhouse.io/v1/boards/insitro/jobs	(board scan — health segment)	api_403; dedup_057 (ML Intern / Data Science & ML Intern on Compute team confirmed same scope, South SF hybrid or remote, 11-12 weeks; existing report 4.1/5 sufficient)
2026-06-16	Cruise	https://boards-api.greenhouse.io/v1/boards/cruise/jobs	(board scan — autonomous segment)	api_403; no_new (via web search: Distributed Training + Simulation SWE intern roles found, $28-68/hr; no explicit grad-year override found this cycle; treating as unchanged no_match_grad per dedup pattern Dec2026-June2027 req from prior scans)
2026-06-16	Nuro	https://boards-api.greenhouse.io/v1/boards/nuro/jobs	(board scan — autonomous segment)	api_403; no_new (via web search: AI Platform Intern + Mapping & Localization Intern confirmed; grad Dec 2026 or later, MS-preferred for AI Platform; dedup_023 no_apply pattern unchanged)
2026-06-16	Aurora	https://boards-api.greenhouse.io/v1/boards/auroradriver/jobs	(board scan — autonomous segment)	api_403; dedup_028 (SWE Internship Summer 2026 Mountain View/Pittsburgh confirmed same scope; existing report 4.0/5 sufficient; no new distinct requisition found)
2026-06-16	Duolingo	https://boards-api.greenhouse.io/v1/boards/duolingo/jobs	(board scan — other segment)	api_403; no_new (via web search: SWE Intern Pittsburgh $50-52/hr grad Fall2026/Spring2027 req = no_match_grad; DS Intern juniors grad Spring/Summer'27 = no_match_grad; Thrive SWE dedup_114/129 unchanged)
2026-06-16	Toast	https://boards-api.greenhouse.io/v1/boards/toast/jobs	(board scan — other segment)	api_403; no_interns (via web search: only Fall 2026 Co-Op found, no active Summer 2026 SWE/DS intern posting; pattern unchanged from prior scans; monitor fall 2026 for 2027 cycle)
